pitch,time_start,duration,beat_type,string,position,finger
69,346,60,16th,N/A,N/A,N/A
72,373,240,16th,N/A,N/A,N/A
76,399,120,8th,N/A,N/A,N/A
72,79,120,16th,N/A,N/A,N/A
76,106,180,16th,N/A,N/A,N/A
81,133,60,16th,N/A,N/A,N/A
84,160,240,8th,N/A,N/A,N/A
63,320,120,8th,N/A,N/A,N/A
63,440,120,16th,N/A,N/A,N/A
64,0,40,4th,N/A,N/A,N/A
64,240,40,16th,N/A,N/A,N/A
66,279,40,16th,N/A,N/A,N/A
68,320,120,16th,N/A,N/A,N/A
69,360,120,16th,N/A,N/A,N/A
71,399,40,16th,N/A,N/A,N/A
73,440,40,16th,N/A,N/A,N/A
75,0,40,16th,N/A,N/A,N/A
76,40,120,16th,N/A,N/A,N/A
78,79,120,16th,N/A,N/A,N/A
80,120,40,16th,N/A,N/A,N/A
81,160,40,16th,N/A,N/A,N/A
83,199,40,16th,N/A,N/A,N/A
85,240,40,16th,N/A,N/A,N/A
87,279,40,16th,N/A,N/A,N/A
88,320,40,8th,N/A,N/A,N/A
64,399,120,8th,N/A,N/A,N/A
65,0,120,8th,N/A,N/A,N/A
64,120,120,32th,N/A,N/A,N/A
65,139,120,32th,N/A,N/A,N/A
62,160,180,8th,N/A,N/A,N/A
59,266,60,16th,N/A,N/A,N/A
62,293,240,16th,N/A,N/A,N/A
65,320,0,16th,N/A,N/A,N/A
69,346,0,16th,N/A,N/A,N/A
71,373,120,16th,N/A,N/A,N/A
74,399,120,16th,N/A,N/A,N/A
77,426,180,16th,N/A,N/A,N/A
81,453,60,16th,N/A,N/A,N/A
77,0,240,8th,N/A,N/A,N/A
76,120,120,32th,N/A,N/A,N/A
77,139,120,32th,N/A,N/A,N/A
74,160,180,8th,N/A,N/A,N/A
71,266,60,16th,N/A,N/A,N/A
74,293,240,16th,N/A,N/A,N/A
77,320,120,16th,N/A,N/A,N/A
81,346,120,16th,N/A,N/A,N/A
83,373,60,16th,N/A,N/A,N/A
86,399,60,16th,N/A,N/A,N/A
89,426,60,16th,N/A,N/A,N/A
93,453,60,16th,N/A,N/A,N/A
92,0,120,8th,N/A,N/A,N/A
64,79,240,16th,N/A,N/A,N/A
66,120,120,16th,N/A,N/A,N/A
68,160,180,16th,N/A,N/A,N/A
69,199,60,16th,N/A,N/A,N/A
71,240,240,16th,N/A,N/A,N/A
73,279,120,16th,N/A,N/A,N/A
75,320,120,16th,N/A,N/A,N/A
76,360,180,16th,N/A,N/A,N/A
78,399,60,16th,N/A,N/A,N/A
80,440,240,16th,N/A,N/A,N/A
75,0,120,16th,N/A,N/A,N/A
76,40,120,16th,N/A,N/A,N/A
78,79,40,16th,N/A,N/A,N/A
80,120,40,16th,N/A,N/A,N/A
81,160,40,16th,N/A,N/A,N/A
83,199,120,16th,N/A,N/A,N/A
85,240,120,16th,N/A,N/A,N/A
87,279,40,16th,N/A,N/A,N/A
88,320,40,8th,N/A,N/A,N/A
64,399,40,8th,N/A,N/A,N/A
65,0,120,8th,N/A,N/A,N/A
64,120,120,32th,N/A,N/A,N/A
65,139,180,32th,N/A,N/A,N/A
62,160,60,8th,N/A,N/A,N/A
59,266,360,16th,N/A,N/A,N/A
62,293,60,16th,N/A,N/A,N/A
65,320,60,16th,N/A,N/A,N/A
69,346,60,16th,N/A,N/A,N/A
71,373,60,16th,N/A,N/A,N/A
74,399,60,16th,N/A,N/A,N/A
77,426,60,16th,N/A,N/A,N/A
81,453,60,16th,N/A,N/A,N/A
77,0,60,8th,N/A,N/A,N/A
76,120,60,32th,N/A,N/A,N/A
77,139,60,32th,N/A,N/A,N/A
74,160,60,8th,N/A,N/A,N/A
